,gameId,playId,nflId,frameId,time,jerseyNumber,team,playDirection,x,y,s,a,dis,o,dir,event,game_playid,ball_snap,frames_after_snap,height,weight,birthDate,collegeName,officialPosition,displayName,pff_role,pff_positionLinedUp,pff_hit,pff_hurry,pff_sack,pff_beatenByDefender,pff_hitAllowed,pff_hurryAllowed,pff_sackAllowed,pff_nflIdBlockedPlayer,pff_blockType,pff_backFieldBlock,x_o,y_o
119372,2021091910,3027,35454.0,6.0,2021-09-19T22:24:29.600,90.0,TB,left,52.26,32.2,0.0,0.01,0.02,106.94,59.77,ball_snap,2021091910_3027,1.0,0.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,53.25209136315896,32.32551783596524
119373,2021091910,3027,35454.0,7.0,2021-09-19T22:24:29.700,90.0,TB,left,52.29,32.2,0.01,0.2,0.03,103.92,75.47,None,2021091910_3027,1.0,1.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,51.32045799531746,31.955074907050825
119374,2021091910,3027,35454.0,8.0,2021-09-19T22:24:29.800,90.0,TB,left,52.32,32.2,0.14,2.08,0.03,102.62,87.63,None,2021091910_3027,1.0,2.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,51.82464907131984,33.068692959252985
119375,2021091910,3027,35454.0,9.0,2021-09-19T22:24:29.900,90.0,TB,left,52.35,32.2,0.46,3.01,0.03,102.62,90.19,None,2021091910_3027,1.0,3.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,51.85464907131984,33.068692959252985
119376,2021091910,3027,35454.0,10.0,2021-09-19T22:24:30.000,90.0,TB,left,52.42,32.2,0.85,3.16,0.07,102.62,91.83,None,2021091910_3027,1.0,4.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,51.924649071319834,33.068692959252985
119377,2021091910,3027,35454.0,11.0,2021-09-19T22:24:30.100,90.0,TB,left,52.55,32.21,1.38,4.59,0.12,102.62,87.48,None,2021091910_3027,1.0,5.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,52.05464907131983,33.07869295925298
119378,2021091910,3027,35454.0,12.0,2021-09-19T22:24:30.200,90.0,TB,left,52.74,32.24,2.03,4.24,0.19,106.95,83.12,None,2021091910_3027,1.0,6.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,53.730786601564056,32.3754323084096
119379,2021091910,3027,35454.0,13.0,2021-09-19T22:24:30.300,90.0,TB,left,52.99,32.28,2.56,3.35,0.25,111.38,81.18,None,2021091910_3027,1.0,7.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,52.84398469215012,31.290717669280653
119380,2021091910,3027,35454.0,14.0,2021-09-19T22:24:30.400,90.0,TB,left,53.28,32.34,2.97,2.31,0.3,116.38,79.48,None,2021091910_3027,1.0,8.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,52.289934137242106,32.19939563519766
119381,2021091910,3027,35454.0,15.0,2021-09-19T22:24:30.500,90.0,TB,left,53.58,32.42,3.18,1.33,0.31,121.42,77.22,None,2021091910_3027,1.0,9.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,53.128288448087574,33.31216403977569
119382,2021091910,3027,35454.0,16.0,2021-09-19T22:24:30.600,90.0,TB,left,53.91,32.51,3.3,0.76,0.33,125.47,75.54,None,2021091910_3027,1.0,10.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,54.89129755438422,32.31750296168629
119383,2021091910,3027,35454.0,17.0,2021-09-19T22:24:30.700,90.0,TB,left,54.22,32.57,3.26,0.5,0.32,129.11,75.97,None,2021091910_3027,1.0,11.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,53.26606336325884,32.269991844972566
119384,2021091910,3027,35454.0,18.0,2021-09-19T22:24:30.800,90.0,TB,left,54.52,32.64,3.12,1.24,0.31,131.08,76.14,None,2021091910_3027,1.0,12.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,55.16719938203896,31.877679227694543
119385,2021091910,3027,35454.0,19.0,2021-09-19T22:24:30.900,90.0,TB,left,54.79,32.69,2.84,2.1,0.28,132.33,77.99,None,2021091910_3027,1.0,13.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,55.71750712601843,33.06380547238506
119386,2021091910,3027,35454.0,20.0,2021-09-19T22:24:31.000,90.0,TB,left,55.03,32.73,2.46,2.82,0.25,130.18,79.78,None,2021091910_3027,1.0,14.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,54.83515921261915,31.74916511706974
119387,2021091910,3027,35454.0,21.0,2021-09-19T22:24:31.100,90.0,TB,left,55.25,32.77,2.08,3.26,0.22,128.62,79.99,None,2021091910_3027,1.0,15.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,54.26711875595287,32.95424022389362
119388,2021091910,3027,35454.0,22.0,2021-09-19T22:24:31.200,90.0,TB,left,55.43,32.81,1.69,3.37,0.18,127.58,80.26,None,2021091910_3027,1.0,16.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,55.091335151723314,33.750907073276494
119389,2021091910,3027,35454.0,23.0,2021-09-19T22:24:31.300,90.0,TB,left,55.57,32.83,1.29,3.23,0.14,133.98,80.03,None,2021091910_3027,1.0,17.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,55.123981208949495,33.72502359635366
119390,2021091910,3027,35454.0,24.0,2021-09-19T22:24:31.400,90.0,TB,left,55.67,32.85,0.89,3.04,0.1,128.19,80.13,None,2021091910_3027,1.0,18.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,54.853398983137595,33.42720254613029
119391,2021091910,3027,35454.0,25.0,2021-09-19T22:24:31.500,90.0,TB,left,55.74,32.87,0.57,2.64,0.07,119.08,73.49,None,2021091910_3027,1.0,19.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,LILB,0.0,0.0,0.0,,,,,,,,56.69518244187108,32.573982259414734
