nflId,displayName,team,nPlays,mean_kick,pff_positionLinedUp,90p_kick,kick_std
30869.0,Andrew Whitworth,LA,135,3.219851851851852,LT,5.444000000000002,1.4029664654800098
52938.0,Terence Steele,DAL,70,2.7372857142857145,RT,4.595000000000001,1.581344063643028
41232.0,Jake Matthews,ATL,160,2.7963750000000003,LT,4.494,1.1328771672607005
43447.0,Brandon Shell,SEA,53,2.8926415094339624,RT,4.464,1.0481121324028195
48220.0,Patrick Mekari,BAL,64,2.3465625,RT,4.389,1.2718131273706765
35443.0,Trent Williams,SF,103,2.789223300970874,LT,4.332,1.2305217204705414
46143.0,Geron Christian,HOU,83,2.6557831325301207,RT,4.12,1.012063962697056
53442.0,Rashawn Slater,LAC,173,2.794450867052023,LT,3.9960000000000004,0.9231804002203401
43640.0,Rashod Hill,MIN,96,2.7269791666666667,LT,3.9299999999999997,1.065231499219688
42377.0,Donovan Smith,TB,197,2.4323350253807106,LT,3.9020000000000015,1.0947987558253618
