,gameId,playId,nflId,frameId,time,jerseyNumber,team,playDirection,x,y,s,a,dis,o,dir,event,game_playid,ball_snap,frames_after_snap,height,weight,birthDate,collegeName,officialPosition,displayName,pff_role,pff_positionLinedUp,pff_hit,pff_hurry,pff_sack,pff_beatenByDefender,pff_hitAllowed,pff_hurryAllowed,pff_sackAllowed,pff_nflIdBlockedPlayer,pff_blockType,pff_backFieldBlock,x_o,y_o
118322,2021091910,2074,35454.0,6.0,2021-09-19T21:31:50.700,90.0,TB,right,64.52,33.11,0.01,0.07,0.01,255.2,274.2,ball_snap,2021091910_2074,1.0,0.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,ROLB,0.0,0.0,0.0,,,,,,,,63.77548954124349,32.442389202602165
118323,2021091910,2074,35454.0,7.0,2021-09-19T21:31:50.800,90.0,TB,right,64.51,33.1,0.05,0.4,0.01,258.47,253.81,None,2021091910_2074,1.0,1.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,ROLB,0.0,0.0,0.0,,,,,,,,65.16289023408183,33.8574525346453
118324,2021091910,2074,35454.0,8.0,2021-09-19T21:31:50.900,90.0,TB,right,64.48,33.09,0.17,0.89,0.02,258.47,251.82,None,2021091910_2074,1.0,2.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,ROLB,0.0,0.0,0.0,,,,,,,,65.13289023408183,33.8474525346453
118325,2021091910,2074,35454.0,9.0,2021-09-19T21:31:51.000,90.0,TB,right,64.43,33.09,0.46,1.68,0.06,255.55,261.48,None,2021091910_2074,1.0,3.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,ROLB,0.0,0.0,0.0,,,,,,,,63.959549469275984,32.20757363018693
118326,2021091910,2074,35454.0,10.0,2021-09-19T21:31:51.100,90.0,TB,right,64.33,33.08,0.86,2.15,0.1,256.94,263.01,None,2021091910_2074,1.0,4.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,ROLB,0.0,0.0,0.0,,,,,,,,65.11345042821874,32.4585457164651
118327,2021091910,2074,35454.0,11.0,2021-09-19T21:31:51.200,90.0,TB,right,64.21,33.07,1.18,2.27,0.12,256.2,265.05,None,2021091910_2074,1.0,5.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,ROLB,0.0,0.0,0.0,,,,,,,,64.36951439754564,32.08280439781387
118328,2021091910,2074,35454.0,12.0,2021-09-19T21:31:51.300,90.0,TB,right,64.03,33.06,1.64,2.58,0.18,259.59,266.34,None,2021091910_2074,1.0,6.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,ROLB,0.0,0.0,0.0,,,,,,,,63.632669452973055,33.977675561622554
118329,2021091910,2074,35454.0,13.0,2021-09-19T21:31:51.400,90.0,TB,right,63.79,33.06,2.16,3.17,0.23,252.62,267.69,None,2021091910_2074,1.0,7.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,ROLB,0.0,0.0,0.0,,,,,,,,64.06463358478534,34.0215489556481
118330,2021091910,2074,35454.0,14.0,2021-09-19T21:31:51.500,90.0,TB,right,63.55,33.04,2.51,2.86,0.24,251.77,267.62,None,2021091910_2074,1.0,8.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,ROLB,0.0,0.0,0.0,,,,,,,,64.45364642621382,33.46827927382839
118331,2021091910,2074,35454.0,15.0,2021-09-19T21:31:51.600,90.0,TB,right,63.27,33.02,2.85,1.98,0.28,252.63,266.7,None,2021091910_2074,1.0,9.0,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,Pass Rush,ROLB,0.0,0.0,0.0,,,,,,,,63.53500452392143,33.98424716867678
